raw_line,line_type,source_file
Evrak No :202502102,evrak,lescon    örme usd hs.xls
"319.561,02 TL/38,0750 16.04.25 VD.ÇEK TAHSİL-FNo:183360",kur_farki,lescon    örme usd hs.xls
Evrak No :202502126,evrak,lescon    örme usd hs.xls
Evrak No :202502227,evrak,lescon    örme usd hs.xls
Evrak No :202502226,evrak,lescon    örme usd hs.xls
7$+KDV /INTERLOK POLY.PAMUK PIKE,price_product,lescon    örme usd hs.xls
"319.561,02 TL/38,0716 21.04.25 VD.ÇEK TAHSİL-FNo:183410",kur_farki,lescon    örme usd hs.xls
"34.536,48 TL/38,0750 16.04.25 VD.ÇEK FARKI-FNo:183426",kur_farki,lescon    örme usd hs.xls
Evrak No :202502307,evrak,lescon    örme usd hs.xls
Evrak No :202502349,evrak,lescon    örme usd hs.xls
Evrak No :202502348,evrak,lescon    örme usd hs.xls
8.70$+KDV /DOUBLEFACE PAMUK POLY.ELASTAN PIKE 36/1,price_product,lescon    örme usd hs.xls
Evrak No :202502347,evrak,lescon    örme usd hs.xls
Evrak No :202502346,evrak,lescon    örme usd hs.xls
Evrak No :202502345,evrak,lescon    örme usd hs.xls
9.50$+KDV /INTERLOK POLY.ELASTAN 50/72 FRES TUSE APRE,price_product,lescon    örme usd hs.xls
Evrak No :202502403,evrak,lescon    örme usd hs.xls
8.70$+KDV /DOUBLEFACE POLY.PAMUK ELASTAN PIKE 36/1,price_product,lescon    örme usd hs.xls
Evrak No :202502402,evrak,lescon    örme usd hs.xls
Evrak No :202502401,evrak,lescon    örme usd hs.xls
6.50$+KDV /INTERLOK POLY.Y.H.,price_product,lescon    örme usd hs.xls
Evrak No :202502400,evrak,lescon    örme usd hs.xls
Evrak No :202502399,evrak,lescon    örme usd hs.xls
"321.988,65 TL/38,3144 26.04.25 VD.ÇEK TAHSİL-FNo:183481",kur_farki,lescon    örme usd hs.xls
"34.504,86 TL/38,0716 21.04.25 VD.ÇEK FARKI-FNo:183487",kur_farki,lescon    örme usd hs.xls
Evrak No :202502429,evrak,lescon    örme usd hs.xls
8.70$+KDV /DOUBLEFACE POLY.PAMUK ELASTAN 36/1,price_product,lescon    örme usd hs.xls
"37.042,18 TL/38,3144 26.04.25 VD.ÇEK FARKI-FNo:183517",kur_farki,lescon    örme usd hs.xls
Evrak No :202502503,evrak,lescon    örme usd hs.xls
7.20$+KDV /SUPREM 30/1 PAMUK,price_product,lescon    örme usd hs.xls
Evrak No :202502502,evrak,lescon    örme usd hs.xls
Evrak No :202502538,evrak,lescon    örme usd hs.xls
6.50$+KDV /INTERLOK POLY.70/36,price_product,lescon    örme usd hs.xls
Evrak No :202502537,evrak,lescon    örme usd hs.xls
Evrak No :202502536,evrak,lescon    örme usd hs.xls
Evrak No :202502535,evrak,lescon    örme usd hs.xls
Evrak No :202502534,evrak,lescon    örme usd hs.xls
7$+KDV /SCUBA POLY.ELASTAN Y.H.,price_product,lescon    örme usd hs.xls
Evrak No :202502576,evrak,lescon    örme usd hs.xls
Evrak No :202502657,evrak,lescon    örme usd hs.xls
7$+KDV /POLY.INTERLOK FIRCALI,price_product,lescon    örme usd hs.xls
Evrak No :202502641,evrak,lescon    örme usd hs.xls
Evrak No :202502651,evrak,lescon    örme usd hs.xls
Evrak No :202502699,evrak,lescon    örme usd hs.xls
Evrak No :202502784,evrak,lescon    örme usd hs.xls
7$+KDV /SCUBA POLY.ELASTAN Y.H,price_product,lescon    örme usd hs.xls
Evrak No :202502802,evrak,lescon    örme usd hs.xls
Evrak No :202502801,evrak,lescon    örme usd hs.xls
Evrak No :202502899,evrak,lescon    örme usd hs.xls
Evrak No :202502864,evrak,lescon    örme usd hs.xls
Evrak No :202502900,evrak,lescon    örme usd hs.xls
Evrak No :202502956,evrak,lescon    örme usd hs.xls
